Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Total Housing Units,Single-Family Detached,% Single-Family Detached,Other Dwellings,% Other,Median Household Income
75227,Unknown,3,0.0,0.0,100.0,0.0,19692,13408,68.1,6284,31.9,54743.0
75233,Unknown,3,0.0,0.0,100.0,0.0,4940,2841,57.5,2099,42.5,61750.0
76018,Arlington,3,0.0,0.0,100.0,0.0,8618,7763,90.1,855,9.9,83815.0
76131,Unknown,3,0.0,0.0,100.0,0.0,17036,14853,87.2,2183,12.8,101087.0
75137,Unknown,3,0.0,0.0,100.0,0.0,7232,5918,81.8,1314,18.2,81160.0
75054,Grand Prairie,3,0.0,0.0,100.0,0.0,4941,4538,91.8,403,8.2,154412.0
76105,Unknown,3,0.0,0.0,100.0,0.0,7863,6228,79.2,1635,20.8,44193.0
76016,Arlington,3,0.0,0.0,100.0,0.0,11491,10550,91.8,941,8.2,103605.0
75217,Unknown,3,0.0,0.0,100.0,0.0,25396,19501,76.8,5895,23.2,49841.0
75134,Unknown,3,0.0,0.0,100.0,0.0,7084,5854,82.6,1230,17.4,65114.0
75040,Garland,3,0.0,0.0,100.0,0.0,21023,16907,80.4,4116,19.6,70592.0
75210,Unknown,3,0.0,0.0,100.0,0.0,3215,1715,53.3,1500,46.7,26822.0
76001,Arlington,3,0.0,0.0,100.0,0.0,11815,10298,87.2,1517,12.8,101311.0
75249,Unknown,3,0.0,0.0,100.0,0.0,5326,5152,96.7,174,3.3,79162.0
76203,Unknown,3,0.0,0.0,100.0,0.0,0,0,0.0,0,0.0,
76060,Unknown,3,0.0,0.0,100.0,0.0,3027,2228,73.6,799,26.4,112931.0
75116,Duncanville,3,0.0,0.0,100.0,0.0,7349,4814,65.5,2535,34.5,57245.0
75237,Unknown,3,0.0,0.0,100.0,0.0,8989,1328,14.8,7661,85.2,38552.0
75078,Prosper,3,0.0,0.0,100.0,0.0,12841,11887,92.6,954,7.4,178254.0
76207,Denton,3,0.0,0.0,100.0,0.0,6915,4704,68.0,2211,32.0,88152.0
75224,Unknown,3,0.0,0.0,100.0,0.0,12423,7679,61.8,4744,38.2,50061.0
76119,Unknown,3,0.0,0.0,100.0,0.0,16386,10483,64.0,5903,36.0,44605.0
76110,Unknown,3,0.0,0.0,100.0,0.0,12722,9637,75.8,3085,24.2,59933.0
76104,Unknown,3,0.0,0.0,100.0,0.0,8997,4683,52.1,4314,47.9,46098.0
76209,Denton,3,0.0,0.0,100.0,0.0,11419,6991,61.2,4428,38.8,69090.0
76102,Unknown,3,0.0,0.0,100.0,0.0,5277,415,7.9,4862,92.1,81074.0
75182,Sunnyvale,3,0.0,0.0,100.0,0.0,2694,2391,88.8,303,11.2,152632.0
75048,Sachse,3,0.0,0.0,100.0,0.0,9918,8731,88.0,1187,12.0,126792.0
75232,Unknown,3,0.0,0.0,100.0,0.0,11566,9512,82.2,2054,17.8,52739.0
76052,Haslet,3,0.0,0.0,100.0,0.0,9031,8646,95.7,385,4.3,135348.0
75216,Unknown,3,0.0,0.0,100.0,0.0,20665,15223,73.7,5442,26.3,33889.0
76107,Unknown,3,0.0,0.0,100.0,0.0,17438,8157,46.8,9281,53.2,77277.0
76106,Unknown,3,0.0,0.0,100.0,0.0,11526,8070,70.0,3456,30.0,51972.0
75072,McKinney,3,0.0,0.0,100.0,0.0,18491,16887,91.3,1604,8.7,147321.0
75241,Unknown,3,0.0,0.0,100.0,0.0,11464,9243,80.6,2221,19.4,45356.0
76115,Unknown,3,0.0,0.0,100.0,0.0,6781,4181,61.7,2600,38.3,45311.0
75150,Mesquite,3,0.0,0.0,100.0,0.0,24626,14121,57.3,10505,42.7,66265.0
76109,Unknown,3,0.0,0.0,99.5,0.5,11217,5834,52.0,5383,48.0,99102.0
75089,Rowlett,3,0.0,0.0,99.4,0.6,11949,10405,87.1,1544,12.9,119332.0
